flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
3.1300000000000003,3.1300000000000003,3.12,3.3000000000000003,2.68,0.0,0.0,0.0,0.0,0.0,0.0,B
3.25,3.1400000000000006,3.09,3.3000000000000003,2.66,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2099999999999995,2.98,3.1,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.15,3.12,2.97,3.3000000000000003,2.67,0.0,0.0,0.0,0.0,0.0,0.0,B
3.11,3.08,3.1,3.3000000000000003,2.62,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2099999999999995,3.2400000000000007,3.1,3.3000000000000003,2.61,0.0,0.0,0.0,0.0,0.0,0.0,B
3.26,3.2099999999999995,3.18,3.3000000000000003,2.62,0.0,0.0,0.0,0.0,0.0,0.0,B
3.3000000000000003,3.1,3.01,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2,3.12,3.18,3.3000000000000003,2.56,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2300000000000004,3.15,3.18,3.3000000000000003,2.63,0.0,0.0,0.0,0.0,0.0,0.0,B
3.1400000000000006,3.1300000000000003,3.19,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2300000000000004,3.2199999999999998,3.16,3.3000000000000003,2.61,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2199999999999998,3.11,3.06,3.3000000000000003,2.63,0.0,0.0,0.0,0.0,0.0,0.0,B
3.29,3.1400000000000006,3.16,3.3000000000000003,2.62,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2799999999999994,3.27,3.1300000000000003,3.3000000000000003,2.62,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2799999999999994,3.2199999999999998,3.03,3.3000000000000003,2.71,0.0,0.0,0.0,0.0,0.0,0.0,B
3.3000000000000003,3.15,3.09,3.3000000000000003,2.6,0.0,0.0,0.0,0.0,0.0,0.0,B
3.18,3.11,3.16,3.3000000000000003,2.69,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2799999999999994,3.12,3.19,3.3000000000000003,2.51,0.0,0.0,0.0,0.0,0.0,0.0,B
3.26,3.26,3.06,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.26,3.1300000000000003,3.2,3.3000000000000003,2.62,0.0,0.0,0.0,0.0,0.0,0.0,B
3.1400000000000006,3.03,2.96,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.29,3.01,3.08,3.3000000000000003,2.68,0.0,0.0,0.0,0.0,0.0,0.0,B
3.18,3.08,2.94,3.3000000000000003,2.58,0.0,0.0,0.0,0.0,0.0,0.0,B
3.25,3.18,3.2099999999999995,3.3000000000000003,2.69,0.0,0.0,0.0,0.0,0.0,0.0,B
3.18,3.15,2.92,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.3000000000000003,3.18,3.19,3.3000000000000003,2.51,0.0,0.0,0.0,0.0,0.0,0.0,B
3.18,3.17,3.1,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.16,3.07,2.97,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,0.0,0.0,B
3.25,3.17,3.1400000000000006,3.3000000000000003,2.61,0.0,0.0,0.0,0.0,0.0,0.0,B
