flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
3.3000000000000003,2.79,3.16,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.19,2.76,3.06,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2400000000000007,2.76,2.93,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.26,2.71,3.1300000000000003,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.27,2.71,3.12,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.29,2.72,3.1400000000000006,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.18,2.7,2.98,0.17,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.12,2.72,3.07,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2400000000000007,2.74,3.05,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2400000000000007,2.85,3.08,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.05,2.92,2.97,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.08,2.61,3.09,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2,2.7,3.11,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.17,2.53,3.08,0.17,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2199999999999998,2.69,3.01,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.1400000000000006,2.71,3.04,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2199999999999998,2.71,2.93,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,B
3.16,2.74,2.94,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,B
3.26,2.72,3.03,0.17,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.18,2.84,3.1,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.0,B
3.1400000000000006,2.73,3.1,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.1400000000000006,2.69,3.1,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.12,2.64,3.1,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.08,2.72,2.93,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.15,2.7,3.1300000000000003,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.15,2.6,3.02,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2300000000000004,2.72,3.01,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.08,2.71,3.12,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.3000000000000003,2.59,3.1300000000000003,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.15,2.72,3.01,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.3000000000000003,2.66,3.1,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.2300000000000004,2.59,3.06,0.16,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.1300000000000003,2.71,3.1300000000000003,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,B
3.17,2.69,3.09,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,B
3.08,2.72,3.1400000000000006,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,B
